DN Part ID,PG Product Group,Product Family,Product Group,Product Subgroup,Product Description
151,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Motor
152,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Fan Shroud
153,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Hose
154,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Overflow Cap
155,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Radiator Overflow Tank
156,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Refrigerant Desicant
157,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Underbody Panels
158,PG1,Thermal,Powertrain Thermal Components,Powertrain Cooling,Coolant Temperature Sensor
159,PG2,Drivetrain,Drivetrain Components,Transmission,AT Solenoid
160,PG2,Powertrain,Engine Components,Exhaust Emission Control,A/F Sensor
161,PG2,Powertrain,Engine Components,Ignition,Cam Sensor
162,PG2,Powertrain,Engine Components,Ignition,Crank Sensor
163,PG2,Powertrain,Engine Components,Exhaust Emission Control,Differential Pressure Sensor
164,PG2,Powertrain,Engine Components,Engine Electronic Control,Engine ECU
165,PG2,Powertrain,Engine Components,Exhaust Emission Control,Exhaust Gas Temperature Sensor
166,PG2,Powertrain,Engine Components,Exhaust Emission Control,Exhaust Manifold Pressure Sensor
167,PG2,Powertrain,Engine Components,Ignition,Ignition Coil
168,PG2,Powertrain,Engine Components,Air Intake,Intake Air Temperature Sensor
169,PG2,Powertrain,Engine Components,Electrified Systems,Inverter
170,PG2,Powertrain,Engine Components,Ignition,Knock Sensor
171,PG2,Powertrain,Engine Components,Air Intake,Manifold Air Pressure Sensor
172,PG2,Powertrain,Engine Components,Air Intake,Mass Air Flow Sensor
173,PG2,Powertrain,Engine Components,Exhaust Emission Control,O2 Sensor
174,PG2,Powertrain,Engine Components,Valve Train,Oil Control Valve
175,PG2,Powertrain,Engine Components,Valve Train,Oil Pressure Sensor
176,PG2,Powertrain,Engine Components,Exhaust Emission Control,Secondary Air Valve
177,PG2,Powertrain,Engine Components,Ignition Components,Spark Plug
178,PG2,Powertrain,Engine Components,Air Intake,Throttle Body
179,PG2,Powertrain,Engine Components,Transmission,Transmission ECU
180,PG2,Powertrain,Engine Components,Valve Train,Variable Cam Timing
181,PG2,Powertrain,Engine Components,Air Intake,Engine Air Filter
182,PG2,Powertrain,Engine Components,Air Intake,Engine Air Intake
183,PG2,Powertrain,Engine Components,Electrified Systems,Alternator
184,PG2,Powertrain,Engine Components,Electrified Systems,Starter
185,PG2,Powertrain,Engine Components,Electrified Systems,Starter Relay
186,PG2,Powertrain,Engine Components,Exhaust Emission Control,Canister
187,PG2,Powertrain,Engine Components,Exhaust Emission Control,ELCM
188,PG2,Powertrain,Engine Components,Exhaust Emission Control,Purge Valve
189,PG2,Powertrain,Engine Components,Exhaust Emission Control,Tank Pressure Sensor
190,PG2,Powertrain,Engine Components,Exhaust Emission Control,Vent Valve
191,PG2,Powertrain,Engine Components,Common Rail,CRS Fuel Rail
192,PG2,Powertrain,Engine Components,Common Rail,CRS Fuel Temp Sensor
193,PG2,Powertrain,Engine Components,Common Rail,CRS Fuel Pump (HP)
194,PG2,Powertrain,Engine Components,Common Rail,CRS Fuel Injector
195,PG2,Powertrain,Engine Components,Common Rail,CRS Fuel Pressure Sensor
196,PG2,Powertrain,Engine Components,Fuel Delivery,Fuel Level Sender
197,PG2,Powertrain,Engine Components,Fuel Delivery,Fuel Pump Module
198,PG2,Powertrain,Engine Components,Fuel Delivery,Sub-Gauge
199,PG3,Electronics,Body Electronics Components,Airbag Sensors & Controllers,Airbag ECU
200,PG3,Electronics,Body Electronics Components,Airbag Sensors & Controllers,Airbag Sensor
201,PG3,Electronics,Body Electronics Products,Body Electronics,Body ECU
202,PG3,Electronics,Body Electronics Products,Body Electronics,Data Communication Module
203,PG3,Electronics,Body Electronics Products,Body Electronics,Heads Up Display
204,PG3,Electronics,Body Electronics Products,Body Electronics,Integrated Center Stack
205,PG3,Electronics,Body Electronics Products,Body Electronics,Memory Seat Module
206,PG3,Electronics,Body Electronics Products,Body Electronics,Meter
207,PG3,Electronics,Body Electronics Products,Body Electronics,Meter Lens
208,PG3,Electronics,Body Electronics Products,Cockpit,Navigation Unit
209,PG3,Electronics,Body Electronics Products,Body Electronics,Pedestrian Alert System
210,PG3,Electronics,Body Electronics Products,Body Electronics,Sonar Sensor
211,PG3,Electronics,Body Electronics Products,Body Electronics,Video Processing Module
212,PG3,Electronics,Body Electronics Products,Body Electronics,Wheel Speed Sensor
